YEAR,Site,Orig_vent_site_ID,Name,Replicate,Value_unformatted,cells_ml,cells_ml_sci,ID_number,Origin
2012,Piccard,"Shrimp Gulley #1: Piccard, BSM",ShrimpGulley,1_rep1,1.27 x 105,127000.00,1.30E+05,FS850,Reveillaud 2012
2012,Piccard,"Shrimp Gulley #2: Piccard, BSM",ShrimpGulley,2_rep1,1.4 x 105,140000.00,1.40E+05,FS856,Reveillaud 2012
2012,Piccard,"Shrimp Gulley #2, BSM",ShrimpGulley,2_rep2,,140000.00,1.40E+05,FS856,Anderson et al. 2017
2012,Piccard,"Hot Chimlet: Piccard, BVM",HotChimlet1,rep1,5.45 x 104,54500.00,5.50E+04,FS851,Reveillaud 2012
2012,Piccard,"Hot Chimlet, BVM",HotChimlet1,rep2,,54500.00,5.45E+04,FS851,Anderson et al. 2017
2012,Piccard,"Shrimp Canyon: Piccard, BVM",ShrimpCanyon,rep1,5.2 x 104,52000.00,5.20E+04,FS852,Reveillaud 2012
2012,Piccard,"Shrimp Canyon, BVM",ShrimpCanyon,rep2,,52000.00,5.20E+04,FS852,Anderson et al. 2017
2012,Piccard,"Base of Lung Snack: Piccard, BWM",SouthofLungSnack,,1.37 x 105,137000.00,1.40E+05,FS853,Reveillaud 2012
2012,Piccard,"X-19 at BV #4: Piccard, BVM",X19,rep1,7.27 x 104,72700.00,7.30E+04,FS854,Reveillaud 2012
2012,Piccard,"Marker X-19 at BV #4, BVM",X19,rep2,,72700.00,7.27E+04,FS854,Anderson et al. 2017
2012,Piccard,"Shrimp Vegas: Piccard, BVM",ShrimpVegas,,1.64 x 105,164000.00,1.60E+05,FS855,Reveillaud 2012
2012,Piccard,"Fuzzy Rock 1, 2: Piccard, BVM",Fuzzy Rock,,no data,no data,,,Reveillaud 2012
2012,Von Damm,Old Man Tree: Von Damm,OMT,rep1,NC,NC,NC,FS841,Reveillaud 2012
2012,Von Damm,Old Man Tree,OMT,rep2,,,NC,FS841,Anderson et al. 2017
2012,Von Damm,Ravelin #1: Von Damm,Rav1,,7.05 x 104,70500.00,7.10E+04,FS847,Reveillaud 2012
2012,Von Damm,Ravelin #2: Von Damm,Rav2,rep1,NC,NC,NC,FS842,Reveillaud 2012
2012,Von Damm,Ravelin #2,Rav2,rep2,,,NC,FS842,Anderson et al. 2017
2012,Von Damm,Hot Cracks #1: Von Damm,HotCracks1,,2.47 x105,247000.00,2.50E+05,FS846,Reveillaud 2012
2012,Von Damm,Hot Cracks #2: Von Damm,HotCracks2,,9.80 x 104,98000.00,9.80E+04,FS843,Reveillaud 2012
2012,Von Damm,Shrimp Hole (X-18): Von Damm,ShrimpHole(X18),,2.69 x 105,269000.00,2.70E+05,FS844,Reveillaud 2012
2012,Von Damm,Shrimp Hole,ShrimpHole,,,269000.00,2.69E+05,FS844,Anderson et al. 2017
2012,Von Damm,White Castle: Von Damm,WhiteCastle,,2.75 x 105,275000.00,2.80E+05,FS845,Reveillaud 2012
