DATE	SAMPLE	EXP-ID	vol (ml)	Mag (x)	FOV	"<20um, no FLP"	">20um, no FLP"	"<20um, w FLP [comma sep #/cell]"	">20um, w FLP [comma sep #/cell)"	Notes	Data compiled
4/2/20	VD-Plume	T0-Rep1	150	100	1						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	2						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	3	3					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	4	1		4			6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	5		1			elongated cell?	6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	6						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	7	3					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	8	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	9	1	1		3		6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	10	1	1	1	5		6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	11	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	12						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	13						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	14	2				autofluorecense?	6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	15	2					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	16	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	17		1				6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	18	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	19						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	20						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	21	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	22	1					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	23	3					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	24			2			6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	25			1			6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	26	2					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	27						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	28	2					6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	29						6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	30			1			6/7/20
4/2/20	VD-Plume	T0-Rep1	150	100	31	5					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	1		1				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	2						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	3				2		6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	4						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	5		1				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	6	1					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	7						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	8	1			2		6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	9						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	10		1				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	11						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	12	1					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	13	2					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	14	1		1			6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	15	1					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	16						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	17	1			3		6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	18						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	19						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	20		2				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	21				1		6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	22						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	23		1				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	24						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	25						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	26						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	27	1	2				6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	28						6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	29	1					6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	30		1			elongated cell?	6/7/20
4/2/20	VD-Plume	T40-Rep1	150	100	31						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	1			1			6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	2	1					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	3						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	4						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	5	1					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	6	1		2			6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	7						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	8			1			6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	9	1					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	10	2					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	11	3					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	12				1		6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	13						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	14						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	15						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	16	1					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	17						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	18						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	19						6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	20			1			6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	21	1					6/7/20
5/9/20	VD-Plume	T10-Rep1	150	100	22						6/7/20
