SAMPLE,REP,FLUID_ORIGIN,CRUISE_SAMPLE,EXP_REPS,EXP_VOL,CTRL_REPS,CTRL_VOL
VD-MustardStand,Bag,J2-1243,LV17,2,1.5,2,0.2
Piccard-Plume,Bag,CTD004,Niskin 10,3,2,2,0.5
VD-ShrimpHole,Bag,J2-1244,LV13,2,1.5,2,0.2
Piccard-Shrimpocalypse,IGT3,J2-1240,IGT3,1,0.15,NA,NA
Piccard-Shrimpocalypse,IGT4,J2-1245,IGT4,1,0.15,NA,NA
Piccard-Shrimpocalypse,IGT7,J2-1240,IGT7,1,0.15,NA,NA
Piccard-Shrimpocalypse,Bag,J2-1240,LV13,3,1.5,2,0.2
VD-BSW,Bag,CTD002,Niskins 8-10,3,2,2,0.5
VD-Plume,Bag,CTD001,Niskin 2,3,2,2,1
VD-Rav2,Bag,J2-1238,LV13a,3,1.5,2,0.5
VD-Rav2,IGT5,J2-1244,IGT5,1,0.15,NA,NA
VD-Rav2,IGT4,J2-1244,IGT4,1,0.15,NA,NA
VD-X18,Bag,J2-1235,LV23 & Bio5,2,1.5,2,0.5
Piccard-LotsOShrimp,Bag,J2-1241,LV24,3,1.5,2,0.2
VD-OMT,IGT1,J2-1238,IGT1,1,0.15,NA,NA
VD-OMT,IGT4,J2-1238,IGT4,1,0.15,NA,NA
IGT-CTRL-0122-a,Control01222020,CTD003,Niskins 3-4,1,0.15,NA,NA
IGT-CTRL-0119-a,Control01192020,CTD001,Niskin 2,1,0.15,NA,NA
IGT-CTRL-0122-b,Control01222020,CTD003,Niskins 3-4,1,0.15,NA,NA
IGT-CTRL-0130-a,Control01302020,CTD005,not provided,1,0.15,NA,NA
