"","EXP","VENT_BSW","h","d","BIOVOLUME","pgC_cell_MD_dino","pgC_cell_MD_nodiatom"
"1","IGT","vent",30.077,25.764,10453.451752079,1487.94645218405,1283.92196104507
"2","IGT","vent",89.582,10,4690.50255156468,771.866623121179,604.962905344478
"3","Bag","BSW",14.595,8.036,493.494796543329,122.070865414011,73.0207167753251
"4","Bag","BSW",12.48,8.982,527.180465337822,128.8541072834,77.6915064214439
"5","Bag","vent",9.218,3.12,46.9834078334749,17.7883697999354,8.02434606024767
"6","IGT","vent",17.255,9.986,900.941742971026,199.852781602137,128.503205505619
"7","Bag","vent",41.153,21,9502.51824177879,1376.14278464924,1173.93567772036
"8","IGT","vent",10.282,4.136,92.0952607853983,30.8690970572589,15.0963709546107
"9","IGT","vent",29.776,25.852,10419.6533950429,1484.00519935755,1280.0235918721
"10","IGT","vent",10.991,4,92.0779862816144,30.8643548175831,15.093712012177
"11","Bag","vent",14.333,2,30.0189650026017,12.3253903505206,5.26900155903185
"12","Bag","vent",36.164,3,170.418835086632,51.1006589422514,26.9059772310376
"13","Bag","BSW",16.206,14.924,1889.9266001077,366.624932635948,257.653204091285
"14","Bag","BSW",7,7,179.594380030217,53.3432347949645,28.2640658478889
"15","Bag","vent",10.069,5,131.802901787482,41.4030318054939,21.1379710957937
