"","SAMPLE","Site","Experiment","Name","REP","SizeFrac","r.squared","INTERCEPT","SLOPE","EXPID","TimePoint","Replicate_ID","EXP_TYPE","IGT_REP","total_euks_noFLP","total_FLP","total_euks_wflp","Minutes","SiteOrigin","FLUID_ORIGIN","CRUISE_SAMPLE","EXP_REPS","EXP_VOL","CTRL_REPS","CTRL_VOL","FLPperEuk","SITE","TYPE","SiteOrder","NameOrder"
"1","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T0-Rep3","T0","Rep3","Bag","Bag",9,3,2,0,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.272727272727273,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"2","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T15-Rep3","T15","Rep3","Bag","Bag",8,4,3,15,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.363636363636364,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"3","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T20-Rep3","T20","Rep3","Bag","Bag",9,2,1,20,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.2,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"4","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T40-Rep3","T40","Rep3","Bag","Bag",5,0,0,40,"Vent","J2-1241","LV24",3,1.5,2,0.2,0,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"5","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep1","T0","Rep1","Bag","Bag",6,6,4,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.6,"Piccard","Bag","Piccard","Plume"
"6","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep2","T0","Rep2","Bag","Bag",5,5,3,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.625,"Piccard","Bag","Piccard","Plume"
"7","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep3","T0","Rep3","Bag","Bag",11,8,5,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.5,"Piccard","Bag","Piccard","Plume"
"8","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep1","T10","Rep1","Bag","Bag",8,6,5,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.461538461538462,"Piccard","Bag","Piccard","Plume"
"9","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep2","T10","Rep2","Bag","Bag",2,3,2,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.75,"Piccard","Bag","Piccard","Plume"
"10","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep3","T10","Rep3","Bag","Bag",9,12,5,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.857142857142857,"Piccard","Bag","Piccard","Plume"
