FIELD	NAME	SAMPLE	EXP	PROK_ml	EUK_ml	GRAZING_EFFECT_hr	GRAZING_EFFECT_hr_min	GRAZING_EFFECT_hr_max	BAC_TURNOVER_PERC	Highest.Temp	pH	Mg	H2S	H2	CH4	SAMPLE_TYPE
Piccard	Lots 'O Shrimp	Piccard-LotsOShrimp	LV24	53878	230.91	0	NA	NA	0	36	NA	NA	NA	NA	NA	Vent
Piccard	Lots 'O Shrimp	Piccard-LotsOShrimp	LV24	53878	230.91	0	NA	NA	0	35	NA	NA	NA	NA	NA	Vent
Piccard	Plume	Piccard-Plume	Niskin 10	51429	79.301	44.2590987526805	34.8721130844326	53.6460844209284	2.06540739673012	4.722	NA	NA	NA	NA	NA	Background
Piccard	Shrimpocalypse	Piccard-Shrimpocalypse	LV13	238590	454.82	6006.91224497134	NA	NA	60.4241141201694	90	NA	NA	NA	NA	NA	Vent
VD	Background	VD-BSW	Niskins 8-10	37890	91.838	127.065515863988	96.811910067257	157.31912166072	8.04848873247749	4.181	NA	NA	NA	NA	NA	Background
VD	Background	VD-BSW	Niskins 8-10	37890	91.838	127.065515863988	96.811910067257	157.31912166072	8.04848873247749	4.1	NA	NA	NA	NA	NA	Background
VD	Background	VD-BSW	Niskins 8-10	37890	91.838	127.065515863988	96.811910067257	157.31912166072	8.04848873247749	4	NA	NA	NA	NA	NA	Background
VD	Mustard Stand	VD-MustardStand	LV17	56677	259.77	0	0	0	0	108	NA	NA	NA	NA	NA	Vent
VD	Plume	VD-Plume	Niskin 2	16478	157.77	24.0256798955294	13.8077092867746	34.2436505042842	3.49931009523428	4.23	NA	NA	NA	NA	NA	Background
VD	Ravelin #2	VD-Rav2	LV13a	71147.3970257949	409.33	116.855447275504	95.8811933697826	137.829701181225	3.94185993002006	112	NA	NA	NA	NA	NA	Vent
VD	Shrimp Hole	VD-ShrimpHole	LV13	41983	385.72	0	0	0	0	22	NA	NA	NA	NA	NA	Vent
VD	X-18	VD-X18	LV23 & Bio5	111430	314.87	1166.28184192793	777.51848424034	1555.04519961552	25.1195945492868	62	NA	NA	NA	NA	NA	Vent
Piccard	Shrimpocalypse	Piccard-Shrimpocalypse	IGT3	238590	384.84	17284.676332642	NA	NA	173.868239231908	90	NA	NA	NA	NA	NA	Vent
VD	Old Man Tree	VD-OMT	IGT4	71147.3970257949	349.86	1050.38485864035	NA	NA	35.4324088599174	121	NA	NA	NA	NA	NA	Vent
VD	Ravelin #2	VD-Rav2	IGT4	71147.3970257949	944.62	15867.0959193781	NA	NA	535.24136930408	112	NA	NA	NA	NA	NA	Vent
VD	Ravelin #2	VD-Rav2	IGT5	71147.3970257949	629.74	0	NA	NA	0	112	NA	NA	NA	NA	NA	Vent
Piccard	NA	Piccard-Shrimpocalypse	NA	238590	524.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Vent
Gorda Ridge	Near vent BW	BW	Exp	51959.11258	NA	255.3789347011492	138.2686251902825	352.27591566492725	17.202493019445296	NA	NA	NA	NA	NA	NA	Background
Gorda Ridge	Mt Edwards	Vent	Exp	51439.521455	NA	700.7712861849535	734.458085759222	672.0331436345338	32.69569854601379	30	5.8	42.8	1.01	127	10.1	Vent
Gorda Ridge	Venti latte	Vent	Exp	111192.5009	NA	1646.7898598847507	2329.427639682476	984.1237379886804	28.139494196600324	23	5.5	50.4	NA	NA	0.9	Vent
Gorda Ridge	Candelabra	Vent	Exp	55076.65933	NA	902.8953769311572	981.5731984991291	845.301888799831	42.622918829470855	68	5.8	45.8	NA	21.9	23.7	Vent
Gorda Ridge	SirVentsalot	Vent	Exp	52998.29483	NA	1828.4770834710305	2110.0604460740738	1633.0627406072476	62.1012196865024	53	NA	50.8	NA	NA	NA	Vent
