FeatureID	FIELD_PA	EXP_PA	TYPE_PA	Taxon
006f5664d25385baa7bc38462247b4eb	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-G;Chrysophyceae_Clade-G_X;Chrysophyceae_Clade-G_X_sp.;
007322d9b4f6b28ffd65df27f957582d	Piccard only	Shared	Cosmo	Unassigned
008783681cef7d91238d312d6cb89eca	Shared across	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;
0090723b706b48148969dc942aa358ac	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Plagiopylea;Plagiopylea_X
009fd380ab60bb2001b89f0bdbb4d8b3	VonDamm only	Shared	Vent only	Eukaryota;Stramenopiles;Ochrophyta
00c16e22f8007418f3c9b87e88fcd5fb	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles;Stramenopiles_X;Stramenopiles_XX;Stramenopiles_XXX;Stramenopiles_XXXX;Stramenopiles_XXXXX;Stramenopiles_XXXXX_sp.;
00ece9e60051de60bc47a8bdc7c47641	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X;Dino-Group-II-Clade-7_X_sp.;
013bc948158d080252b7ffc8fba8aeb2	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-IV;Dino-Group-IV-Hematodinium-Group;Hematodinium;Hematodinium_sp.;
016954bc6ec80e37786000223fac2232	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles
017fc7f39bde681c247ca7d98edf7e0c	VonDamm only	Shared	Cosmo	Eukaryota;Opisthokonta;Fungi
0180ca2501557cd3877f482d648ff6da	Piccard only	Shared	Cosmo	Unassigned
0186a1a3fe2c7b6b866aa019671678f9	Shared across	Shared	Cosmo	Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;
01938f0981109d575c9907edcb7aeb38	VonDamm only	Shared	Cosmo	Eukaryota;Stramenopiles
0197a4c5204649413156e892f720d07b	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;MAST-11;MAST-11_X;MAST-11_XX;MAST-11_XXX;MAST-11_XXX_sp.;
01a71ee728b1597b04d339505a58ed04	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1C;MAST-1C_X;MAST-1C_XX;MAST-1C_XX_sp.;
01d1a4a17e3a26ee76b34b62cb0cbef8	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ib;RAD-B_X_Group-Ib_X;RAD-B_X_Group-Ib_X_sp.;
01efca2850655bf2f569e285645a9e07	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_X;Labyrinthulomycetes_X_LAB14;Labyrinthulomycetes_X_LAB14_X;Labyrinthulomycetes_X_LAB14_X_sp.;
020295103ca8304135054e04d9110899	Shared across	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ia;RAD-B_X_Group-Ia_X;RAD-B_X_Group-Ia_X_sp.;
021b3d446af428a68f3fbf2863118de6	Piccard only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora;Phyllopharyngea;Cyrtophoria_7;Hartmannulidae
0248dceccaa9291e7efe782261557b08	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Rhizochromulinales;Rhizochromulina
02abeffbf292adb2616e598acd2bf45f	VonDamm only	Shared	Cosmo	Eukaryota;Alveolata;Ciliophora
02c6e0eeb7fbadf6ee25db9029ec185d	VonDamm only	Shared	Vent only	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida
02c7b94c00a919db1d1ef6d9d1ce810c	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ia;RAD-B_X_Group-Ia_X;RAD-B_X_Group-Ia_X_sp.;
02cdefccf3bfa898a8368ce591b2be36	Shared across	Shared	Cosmo	Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_D;Stephanoecidae_Group_D_X;Stephanoecidae_Group_D_X_sp.;
03598da02d07aa781fb1152e5bb577ae	Shared across	Shared	Cosmo	Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros
038a58b73f387f104814651a8af1dd85	VonDamm only	Shared	Cosmo	Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-Ic;RAD-B_X_Group-Ic_X;RAD-B_X_Group-Ic_X_sp.;
