"","SAMPLE","VENT","SITE","SUM_stats","ASV_stats"
"1","52_MCR_Piccard_expTf_LotsOShrimp_A_0_Jun2021","LotsOShrimp","Piccard",147927,621
"2","53_MCR_Piccard_expTf_LotsOShrimp_B_0_Jun2021","LotsOShrimp","Piccard",178812,657
"3","54_MCR_VonDamm_expTf_MustardStand_0_0_Jun2021","MustardStand","VonDamm",121265,1191
"4","55_MCR_VonDamm_expTf_ShrimpHole_0_0_Jun2021","ShrimpHole","VonDamm",157596,919
"5","57_MCR_Piccard_expTf_Shrimpocalypse_0_0_Jun2021","Shrimpocalypse","Piccard",153909,1023
"6","58_MCR_VonDamm_expTf_Plume_0_0_Jun2021","Plume","VonDamm",174289,1086
"7","59_MCR_VonDamm_expTf_X18_0_0_Jun2021","X18","VonDamm",171310,1265
"8","60_MCR_VonDamm_expTf_BSW_0_0_Jun2021","BSW","VonDamm",141938,816
"9","61_MCR_VonDamm_expTf_Rav2_0_0_Jun2021","Rav2","VonDamm",132823,1026
"10","63_MCR_VonDamm_CTD_BSW_CTD002_0_Jun2021","BSW","VonDamm",118859,860
"11","65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021","Plume","VonDamm",150840,1163
"12","66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021","ArrowLoop","VonDamm",115164,927
"13","67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021","WhiteCastle","VonDamm",171000,32
"14","69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021","MustardStand","VonDamm",153337,53
"15","70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021","Rav2","VonDamm",125963,838
"16","71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021","OldManTree","VonDamm",144829,596
"17","72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021","ShrimpHole","VonDamm",157739,958
"18","73_MCR_Piccard_CTD_BSW_CTD005_0_Jun2021","BSW","Piccard",138994,644
"19","74_MCR_Piccard_CTD_Plume_CTD004_5_Jun2021","Plume","Piccard",121820,332
"20","76_MCR_VonDamm_HOG_X18_J21235HOG20_0_Jun2021","X18","VonDamm",166339,636
"21","77_MCR_Piccard_HOG_Shrimpocalypse_J21240HOG14_0_Jun2021","Shrimpocalypse","Piccard",146098,705
"22","78_MCR_Piccard_HOG_LotsOShrimp_J21241HOG14_0_Jun2021","LotsOShrimp","Piccard",204055,686
"23","80_MCR_VonDamm_HOG_Rav2_J21244HOG20_0_Jun2021","Rav2","VonDamm",160258,947
