Experiment_rep	FIELD	Name	SiteOrder	NameOrder	FLUID_ORIGIN	CRUISE_SAMPLE	RATE	RATE_minute	FLP_ml	TimePoints	EXP_REPS	EXP_VOL	CTRL_REPS	CTRL_VOL	SITE_TYPE	Experiment	VARIABLE	EUK_ml	EUK_MinMax	EUK_sem	PROK_ml	PROK_MinMax	PROK_sem	RATE_hr	RATE_day	FLP_L	CLEARANCE_RATE_ml	CLEARANCE_RATE_nL	SPEC_GRAZE_RATE_hr	GRAZE_RATE_DAY	GRAZING_EFFECT_hr	GRAZING_EFFECT_hr_min	GRAZING_EFFECT_hr_max	GRAZING_EFFECT_day	BAC_TURNOVER_PERC	BAC_TURNOVER_PERC_min	BAC_TURNOVER_PERC_max
LotsOShrimp-Shipboard	Piccard	LotsOShrimp	Piccard	Lots 'O Shrimp	J2-1241	LV24	-0.007605829285218606	0	617.1495556	0, 15, 20, 40	3	1.5	2	0.2	Piccard-Shipboard	LotsOShrimp-Shipboard	eukCONC	230.91	230.9 / 230.9	NA	53878	26240 / 90260	13727.191313284457	0	0	617149.5556	0	0	0	0	0	NA	NA	0	0	0	0
Plume-Shipboard	Piccard	Plume	Piccard	Plume	CTD004	Niskin 10	0.005362855788992138	0.005362855788992138	29650.46759	0, 10, 15, 20, 40	3	2	2	0.5	Piccard-Shipboard	Plume-Shipboard	eukCONC	79.301	55.98 / 112	16.819080628763167	51429	46810 / 56050	4618.125929999998	0.3217713473395283	7.722512336148679	29650467.59	1.0852150859437029e-5	1.0852150859437028e-11	0.558115266549987	13.394766397199689	44.25909875268052	34.87211308443264	53.646084420928396	1062.2183700643325	2.065407396730118	2.269170125889795	1.8952236219766008
Shrimpocalypse-Shipboard	Piccard	Shrimpocalypse	Piccard	Shrimpocalypse	J2-1240	LV13	0.015686872077547345	0.015686872077547345	17003.1	0, 10, 14, 22, 42	3	1.5	2	0.2	Piccard-Shipboard	Shrimpocalypse-Shipboard	eukCONC	454.82	454.8 / 454.8	NA	238590	108700 / 322000	65792.5875376192	0.9412123246528407	22.589095791668175	17003100	5.535533665348323e-5	5.535533665348323e-11	13.207229772154564	316.97351453170955	6006.912244971339	NA	NA	144165.89387931215	60.42411412016939	83.43058603999528	47.36338403769382
BSW-Shipboard	VD	BSW	Von Damm	Background	CTD002	Niskins 8-10	0.0029588888803238895	0.0029588888803238895	4861.823906	0, 10, 15, 20, 40	3	2	2	0.5	VD-Shipboard	BSW-Shipboard	eukCONC	91.838	69.97 / 113.7	21.86612654320987	37890	18470 / 56470	8608.427147547554	0.17753333281943337	4.260799987666401	4861823.9059999995	3.6515788365008175e-5	3.651578836500818e-11	1.3835832211501597	33.20599730760384	127.06551586398837	96.81191006725705	157.31912166071967	3049.572380735721	8.04848873247749	10.414646768130515	6.55844201150912
MustardStand-Shipboard	VD	MustardStand	Von Damm	Mustard Stand	J2-1243	LV17	-0.005445544554455434	0	6601.492934	0, 10, 20, 40	2	1.5	2	0.2	VD-Shipboard	MustardStand-Shipboard	eukCONC	259.77	230.9 / 288.6	28.86328703703701	56677	42400 / 70950	14274.207410000003	0	0	6601492.933999999	0	0	0	0	0	0	0	0	0	0	0
Plume-Shipboard	VD	Plume	Von Damm	Plume	CTD001	Niskin 2	0.005274230755726898	0.005274230755726898	34242.35417	0, 10, 15, 25, 57	3	2	2	1	VD-Shipboard	Plume-Shipboard	eukCONC	157.77	55.98 / 284.4	67.09858909105075	16478	13850 / 19100	2623.935184999999	0.31645384534361387	7.594892288246733	34242354.17	9.241591386285632e-6	9.241591386285633e-12	0.15228294286321464	3.6547906287171514	24.025679895529375	13.807709286774577	34.243650504284176	576.616317492705	3.499310095234282	4.1620731907388935	3.018627756341144
Rav2-Shipboard	VD	Rav2	Von Damm	Ravelin #2	J2-1238	LV13a	0.003470217351593601	0.003470217351593601	51890.94222	0, 10, 15, 21, 40	3	1.5	2	0.5	VD-Shipboard	Rav2-Shipboard	eukCONC	409.33	335.9 / 482.8	73.47018518518516	71147.39702579487	NA	NA	0.20821304109561606	4.997112986294786	51890942.22	4.012512245641318e-6	4.0125122456413175e-12	0.28547980181150656	6.8515152434761575	116.85544727550398	95.88119336978264	137.82970118122532	2804.5307346120953	3.941859930020065	NA	NA
ShrimpHole-Shipboard	VD	ShrimpHole	Von Damm	Shrimp Hole	J2-1244	LV13	-0.001967253075207567	0	113354	0, 10, 15, 20, 40	2	1.5	2	0.2	VD-Shipboard	ShrimpHole-Shipboard	eukCONC	385.72	377.8 / 393.6	7.8718055555555395	41983	38830 / 45130	3148.7222249999977	0	0	113354000	0	0	0	0	0	0	0	0	0	0	0
X18-Shipboard	VD	X18	Von Damm	X-18	J2-1235	LV23 & Bio5	0.0017444285993904343	0.0017444285993904343	3148.722222	0, 15, 20, 40	2	1.5	2	0.5	VD-Shipboard	X18-Shipboard	eukCONC	314.87	209.9 / 419.8	104.95740740740739	111430	108500 / 114400	2973.7932	0.10466571596342605	2.5119771831222253	3148722.222	3.324069529923305e-5	3.324069529923305e-11	3.704010677193539	88.89625625264493	1166.2818419279297	777.5184842403404	1555.0451996155189	27990.76420627031	25.119594549286823	25.808356231641977	24.466639980491756
Shrimpocalypse-IGT3	Piccard	Shrimpocalypse	Piccard	Shrimpocalypse	J2-1240	IGT3	0.01679425837320573	0.01679425837320573	5352.8278	0, 15, 25	1	0.15	NA	NA	Piccard-IGT	Shrimpocalypse-IGT	eukCONC	384.84	384.8 / 384.8	NA	238590	108700 / 322000	65792.5875376192	1.0076555023923437	24.18373205741625	5352827.8	1.88247322731425e-4	1.88247322731425e-10	44.91392873049069	1077.9342895317766	17284.676332642037	NA	NA	414832.23198340886	173.8682392319078	240.06854389310993	136.28645296017106
