SiteOrder	NameOrder	FLUID_ORIGIN	CRUISE_SAMPLE	EUK_ml	EUK_MinMax	PROK_ml	PROK_MinMax	GRAZING_EFFECT_hr	RATE_minute	CLEARANCE_RATE_ml	BAC_TURNOVER_PERC
Piccard	Lots 'O Shrimp	J2-1241	LV24	230.91	230.9 / 230.9	53878	26240 / 90260	0	0	0	0
Piccard	Plume	CTD004	Niskin 10	79.301	55.98 / 112	51429	46810 / 56050	44.259098752680536	0.00536285578899214	1.0852150859437034e-5	2.065407396730119
Piccard	Shrimpocalypse	J2-1240	LV13	454.82	454.8 / 454.8	238590	108700 / 322000	6006.912244971338	0.01568687207754734	5.535533665348322e-5	60.42411412016938
Von Damm	Background	CTD002	Niskins 8-10	91.838	69.97 / 113.7	37890	18470 / 56470	127.06551586398837	0.00295888888032389	3.6515788365008175e-5	8.04848873247749
Von Damm	Mustard Stand	J2-1243	LV17	259.77	230.9 / 288.6	56677	42400 / 70950	0	0	0	0
Von Damm	Plume	CTD001	Niskin 2	157.77	55.98 / 284.4	16478	13850 / 19100	24.025679895529358	0.005274230755726894	9.241591386285625e-6	3.49931009523428
Von Damm	Ravelin #2	J2-1238	LV13a	409.33	335.9 / 482.8	71147.39702579487	NA	116.85544727550413	0.0034702173515936056	4.012512245641323e-6	3.9418599300200703
Von Damm	Shrimp Hole	J2-1244	LV13	385.72	377.8 / 393.6	41983	38830 / 45130	0	0	0	0
Von Damm	X-18	J2-1235	LV23 & Bio5	314.87	209.9 / 419.8	111430	108500 / 114400	1166.281841927928	0.001744428599390432	3.324069529923301e-5	25.1195945492868
Piccard	Shrimpocalypse	J2-1240	IGT3	384.84	384.8 / 384.8	238590	108700 / 322000	17284.676332642037	0.01679425837320573	1.88247322731425e-4	173.8682392319078
Von Damm	Old Man Tree	J2-1238	IGT4	349.86	349.9 / 349.9	71147.39702579487	NA	1050.3848586403467	0.0037646722015459346	4.2198318446327763e-05	35.43240885991736
Von Damm	Ravelin #2	J2-1244	IGT4	944.62	944.6 / 944.6	71147.39702579487	NA	15867.09591937813	0.021062664832014674	2.3609201288352305e-4	535.2413693040804
Von Damm	Ravelin #2	J2-1244	IGT5	629.74	629.7 / 629.7	71147.39702579487	NA	0	0	0	0
NA	NA	NA	NA	524.79	524.8 / 524.8	238590	108700 / 322000	NA	NA	NA	NA
