Site	EXP_TYPE	SAMPLE_TYPE_BIN	MEAN_pg_C_L	MAX_pg_C_L	MIN_pg_C_L	ORIGIN
Piccard	Bag	Vent	94.7224234085953	125.65219431752439	63.792652499666225	bybiovolume
Piccard	IGT	Vent	125.65219431752438	144.98330113560505	106.3210874994437	bybiovolume
VD	Bag	Vent	80.75569873253201	113.08697488577194	25.37207769873088	bybiovolume
VD	IGT	Vent	157.87070568099216	260.9699420440891	96.65553409040336	bybiovolume
Piccard	Bag	Non-vent	1.4694037037037035	1.4694037037037035	1.4694037037037035	sizefrac
Piccard	Bag	Vent	3.2599770740740737	5.919597777777777	0.6003563703703704	sizefrac
Piccard	IGT	Vent	5.919597777777778	10.83860160493827	1.0005939506172838	sizefrac
VD	Bag	Non-vent	3.507142363732908	3.507142363732908	3.507142363732908	sizefrac
VD	Bag	Vent	3.531187014814815	7.753203685185185	0.23877810185185183	sizefrac
VD	IGT	Vent	9.380859835390945	20.49468308641975	2.4560033333333338	sizefrac
