SiteOrder	NameOrder	FLUID_ORIGIN	CRUISE_SAMPLE	TimePoints	Experiment_rep	EXP_REPS	EXP_VOL	Experiment	CTRL_REPS	CTRL_VOL	EUK_ml	EUK_MinMax	EUK_sem	PROK_ml	PROK_MinMax	PROK_sem	FLP_ml	GRAZE_RATE_DAY	Slope	RATE_minute	GRAZING_EFFECT_hr	CLEARANCE_RATE_ml	BAC_TURNOVER_PERC
Piccard	Lots 'O Shrimp	J2-1241	LV24	0, 15, 20, 40	LotsOShrimp-Shipboard	3	1.5	LotsOShrimp-Shipboard	2	0.2	230.91	230.9 / 230.9	NA	53878	26240 / 90260	13727.191313284457	617.1495556	0	-0.007605829285218606	0	0	0	0
Piccard	Plume	CTD004	Niskin 10	0, 10, 15, 20, 40	Plume-Shipboard	3	2	Plume-Shipboard	2	0.5	79.301	55.98 / 112	16.819080628763167	51429	46810 / 56050	4618.125929999998	29650.46759	13.394766397199689	0.005362855788992138	0.005362855788992138	44.25909875268052	1.0852150859437029e-5	2.065407396730118
Piccard	Shrimpocalypse	J2-1240	LV13	0, 10, 14, 22, 42	Shrimpocalypse-Shipboard	3	1.5	Shrimpocalypse-Shipboard	2	0.2	454.82	454.8 / 454.8	NA	238590	108700 / 322000	65792.5875376192	17003.1	316.97351453170955	0.015686872077547345	0.015686872077547345	6006.912244971339	5.535533665348323e-5	60.42411412016939
Von Damm	Background	CTD002	Niskins 8-10	0, 10, 15, 20, 40	BSW-Shipboard	3	2	BSW-Shipboard	2	0.5	91.838	69.97 / 113.7	21.86612654320987	37890	18470 / 56470	8608.427147547554	4861.823906	33.20599730760384	0.0029588888803238895	0.0029588888803238895	127.06551586398837	3.6515788365008175e-5	8.04848873247749
Von Damm	Mustard Stand	J2-1243	LV17	0, 10, 20, 40	MustardStand-Shipboard	2	1.5	MustardStand-Shipboard	2	0.2	259.77	230.9 / 288.6	28.86328703703701	56677	42400 / 70950	14274.207410000003	6601.492934	0	-0.005445544554455434	0	0	0	0
Von Damm	Plume	CTD001	Niskin 2	0, 10, 15, 25, 57	Plume-Shipboard	3	2	Plume-Shipboard	2	1	157.77	55.98 / 284.4	67.09858909105075	16478	13850 / 19100	2623.935184999999	34242.35417	3.6547906287171514	0.005274230755726898	0.005274230755726898	24.025679895529375	9.241591386285632e-6	3.499310095234282
Von Damm	Ravelin #2	J2-1238	LV13a	0, 10, 15, 21, 40	Rav2-Shipboard	3	1.5	Rav2-Shipboard	2	0.5	409.33	335.9 / 482.8	73.47018518518516	71147.39702579487	NA	NA	51890.94222	6.8515152434761575	0.003470217351593601	0.003470217351593601	116.85544727550398	4.012512245641318e-6	3.941859930020065
Von Damm	Shrimp Hole	J2-1244	LV13	0, 10, 15, 20, 40	ShrimpHole-Shipboard	2	1.5	ShrimpHole-Shipboard	2	0.2	385.72	377.8 / 393.6	7.8718055555555395	41983	38830 / 45130	3148.7222249999977	113354	0	-0.001967253075207567	0	0	0	0
Von Damm	X-18	J2-1235	LV23 & Bio5	0, 15, 20, 40	X18-Shipboard	2	1.5	X18-Shipboard	2	0.5	314.87	209.9 / 419.8	104.95740740740739	111430	108500 / 114400	2973.7932	3148.722222	88.89625625264493	0.0017444285993904343	0.0017444285993904343	1166.2818419279297	3.324069529923305e-5	25.119594549286823
Piccard	Shrimpocalypse	J2-1240	IGT3	0, 15, 25	Shrimpocalypse-IGT3	1	0.15	Shrimpocalypse-IGT	NA	NA	384.84	384.8 / 384.8	NA	238590	108700 / 322000	65792.5875376192	5352.8278	1077.9342895317766	0.01679425837320573	0.01679425837320573	17284.676332642037	1.88247322731425e-4	173.8682392319078
Von Damm	Old Man Tree	J2-1238	IGT4	0, 7, 25	OMT-IGT4	1	0.15	OMT-IGT	NA	NA	349.86	349.9 / 349.9	NA	71147.39702579487	NA	NA	5352.8278	72.05521239172337	0.003764672201545937	0.003764672201545937	1050.3848586403474	4.21983184463278e-5	35.43240885991739
Von Damm	Ravelin #2	J2-1244	IGT4	0, 12, 20	Rav2-IGT4	1	0.15	Rav2-IGT	NA	NA	944.62	944.6 / 944.6	NA	71147.39702579487	NA	NA	5352.8278	403.1359722058342	0.021062664832014674	0.021062664832014674	15867.09591937813	2.3609201288352305e-4	535.2413693040804
Von Damm	Ravelin #2	J2-1244	IGT5	0, 35, 40	Rav2-IGT5	1	0.15	Rav2-IGT	NA	NA	629.74	629.7 / 629.7	NA	71147.39702579487	NA	NA	5352.8278	0	-0.0028508771929824485	0	0	0	0
NA	NA	NA	NA	NA	Shrimpocalypse-IGT7	NA	NA	Shrimpocalypse-IGT	NA	NA	524.79	524.8 / 524.8	NA	238590	108700 / 322000	65792.5875376192	NA	NA	NA	NA	NA	NA	NA
