Tube_Number	SAMPLENAME	Type	Site	Name	Rep	Cycles	RNAextract_date	Gelimage	Sequencing run	Note
51	51_CTRL_control_blank_labblank_0_0_Jun2021	blank	control	labblank	0	0	06-03-2021	5/28/21	was not sequenced	
52	52_MCR_Piccard_expTf_LotsOShrimp_A_0_Jun2021	expTf	Piccard	LotsOShrimp	A	0	06-03-2021	5/28/21		
53	53_MCR_Piccard_expTf_LotsOShrimp_B_0_Jun2021	expTf	Piccard	LotsOShrimp	B	0	06-03-2021	5/28/21		
54	54_MCR_VonDamm_expTf_MustardStand_0_0_Jun2021	expTf	VonDamm	MustardStand	0	0	06-03-2021	5/28/21		
55	55_MCR_VonDamm_expTf_ShrimpHole_0_0_Jun2021	expTf	VonDamm	ShrimpHole	0	0	06-03-2021	5/28/21		
56	56_MCR_Piccard_expTf_Plume_0_5_Jun2021	expTf	Piccard	Plume	0	5	06-03-2021	5/28/21		
57	57_MCR_Piccard_expTf_Shrimpocalypse_0_0_Jun2021	expTf	Piccard	Shrimpocalypse	0	0	07-03-2021	5/28/21		missing R1
58	58_MCR_VonDamm_expTf_Plume_0_0_Jun2021	expTf	VonDamm	Plume	0	0	07-03-2021	5/28/21		missing R1
59	59_MCR_VonDamm_expTf_X18_0_0_Jun2021	expTf	VonDamm	X18	0	0	07-03-2021	5/28/21		
60	60_MCR_VonDamm_expTf_BSW_0_0_Jun2021	expTf	VonDamm	BSW	0	0	07-03-2021	5/28/21		
61	61_MCR_VonDamm_expTf_Rav2_0_0_Jun2021	expTf	VonDamm	Rav2	0	0	07-03-2021	5/28/21		
62	62_MCR_Piccard_CTD_Quakeplume_CTD005_5_Jun2021	CTD	Piccard	Quakeplume	CTD005	5	07-03-2021	5/28/21	was not sequenced	
63	63_MCR_VonDamm_CTD_BSW_CTD002_0_Jun2021	CTD	VonDamm	BSW	CTD002	0	07-03-2021	5/28/21		missing R2
64	64_CTRL_control_blank_shipboard_0_0_Jun2021	blank	control	shipboard	0	0	07-03-2021	5/28/21		
65	65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021	CTD	VonDamm	Plume	CTD003	0	14-03-2021	5/28/21		missing R2
66	66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021	HOG	VonDamm	ArrowLoop	J21243HOG18	5	14-03-2021	5/28/21		
67	67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021	HOG	VonDamm	WhiteCastle	J21235HOG12	5	14-03-2021	6/1/21		
68	68_MCR_Piccard_HOG_LotsOShrimp_J21242HOG14_0_Jun2021	HOG	Piccard	LotsOShrimp	J21242HOG14	0	14-03-2021	6/1/21		
69	69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021	HOG	VonDamm	MustardStand	J21243HOG14	5	14-03-2021	6/1/21		
70	70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021	HOG	VonDamm	Rav2	J21238HOG14	5	14-03-2021	6/1/21		
71	71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021	HOG	VonDamm	OldManTree	J21238HOG20	5	14-03-2021	6/1/21		
72	72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021	HOG	VonDamm	ShrimpHole	J21244HOG18	0	14-03-2021	6/1/21		
73	73_MCR_Piccard_CTD_BSW_CTD005_0_Jun2021	CTD	Piccard	BSW	CTD005	0	17-03-2021	6/1/21		
